Data de Publicação,Contagem de postagens,Contagem de Perfis,Taxa de engajamento,Engajamento,Impressões,Visualizações,Rede,Tipo,Assunto
01 de jan. de 2025,1,1,"8,40%",20.503,244.166,-,Instagram,Publicidade,Times
02 de jan. de 2025,1,1,"0,54%",428,78.740,18.866,Instagram,Publicidade,Times
03 de jan. de 2025,1,1,"0,84%",33,3.951,-,Instagram,Publicidade,Times
04 de jan. de 2025,1,1,"0,61%",24,3.951,-,Instagram,Publicidade,Times
09 de jan. de 2025,3,3,"2,85%",1.162,40.725,-,Instagram,Publicidade,Times
10 de jan. de 2025,1,1,"3,31%",64,1.931,-,Instagram,Publicidade,Times
14 de jan. de 2025,1,1,"1,23%",366,29.655,-,Instagram,Publicidade,Times
15 de jan. de 2025,3,3,"0,07%",1.040,1.506.342,-,Instagram,Publicidade,Times
16 de jan. de 2025,1,1,"0,57%",61,10.610,-,Instagram,Publicidade,Times
18 de jan. de 2025,1,1,"0,60%",145,24.271,-,Instagram,Publicidade,Times
19 de jan. de 2025,1,1,"0,31%",60,19.542,-,Instagram,Publicidade,Times
20 de jan. de 2025,3,3,"2,00%",485,24.306,-,Instagram,Publicidade,Times
23 de jan. de 2025,1,1,"0,85%",62,7.287,-,Instagram,Publicidade,Times
24 de jan. de 2025,2,2,"16,78%",19.192,114.357,492,Instagram,Publicidade,Times
26 de jan. de 2025,1,1,"2,22%",44,1.978,-,Instagram,Publicidade,Times
27 de jan. de 2025,1,1,"1,68%",190,11.304,-,Instagram,Publicidade,Times
29 de jan. de 2025,1,1,"0,53%",12,2.273,-,Instagram,Publicidade,Times
31 de jan. de 2025,2,2,"5,80%",1.062,18.326,-,Instagram,Publicidade,Times
01 de fev. de 2025,1,1,"0,19%",5,2.585,-,Instagram,Publicidade,Times
03 de fev. de 2025,1,1,"7,05%",33,468,-,Instagram,Publicidade,Times
04 de fev. de 2025,1,1,"1,75%",950,54.368,-,Instagram,Publicidade,Times
05 de fev. de 2025,2,2,"0,38%",166,43.994,-,Instagram,Publicidade,Times
